name	tdl	sym	uniprot	chr
Putative adrenomedullin-5-like protein	Tdark	ADM5	C9JUS6	19q13.33
Activity-dependent neuroprotector homeobox protein	Tbio	ADNP	Q9H2P0	20q13.13
Beta-3 adrenergic receptor	Tclin	ADRB3	P13945	8p11.23
Androgen-dependent TFPI-regulating protein	Tbio	ADTRP	Q96IZ2	6p24.1
2-aminoethanethiol dioxygenase	Tbio	ADO	Q96SZ5	10q21.3
Apical endosomal glycoprotein	Tdark	MAMDC4	Q6UXC1	9q34.3
AFG3-like protein 2	Tbio	AFG3L2	Q9Y4W6	18p11.21
Arf-GAP domain and FG repeat-containing protein 2	Tbio	AGFG2	O95081	7q22.1
Protein argonaute-4	Tbio	AGO4	Q9HCK5	1p34.3
Adhesion G protein-coupled receptor A1	Tdark	ADGRA1	Q86SQ6	10q26.3
Activator of 90 kDa heat shock protein ATPase homolog 1	Tbio	AHSA1	O95433	14q24.3
Single-stranded DNA cytosine deaminase	Tbio	AICDA	Q9GZX7	12p13.31
Allograft inflammatory factor 1	Tbio	AIF1	P55008	6p21.33
Apoptosis-inducing factor 3	Tbio	AIFM3	Q96NN9	22q11.21
HLA class I histocompatibility antigen, A-11 alpha chain	Tbio	HLA-A	P13746	6p22.1
1-aminocyclopropane-1-carboxylate synthase-like protein 1	Tbio	ACCS	Q96QU6	11p11.2
HLA class I histocompatibility antigen, A-23 alpha chain	Tbio	HLA-A	P30447	6p22.1
HLA class I histocompatibility antigen, A-24 alpha chain	Tbio	HLA-A	P05534	6p22.1
HLA class I histocompatibility antigen, A-32 alpha chain	Tbio	HLA-A	P10314	6p22.1
HLA class I histocompatibility antigen, A-33 alpha chain	Tbio	HLA-A	P16190	6p22.1
HLA class I histocompatibility antigen, A-34 alpha chain	Tbio	HLA-A	P30453	6p22.1
HLA class I histocompatibility antigen, A-43 alpha chain	Tbio	HLA-A	P30456	6p22.1
HLA class I histocompatibility antigen, A-66 alpha chain	Tbio	HLA-A	P30457	6p22.1
HLA class I histocompatibility antigen, A-68 alpha chain	Tbio	HLA-A	P01891	6p22.1
HLA class I histocompatibility antigen, A-74 alpha chain	Tbio	HLA-A	P30459	6p22.1
HLA class I histocompatibility antigen, B-8 alpha chain	Tbio	HLA-B	P30460	6p21.33
HLA class I histocompatibility antigen, B-18 alpha chain	Tbio	HLA-B	P30466	6p21.33
HLA class I histocompatibility antigen, B-27 alpha chain	Tbio	HLA-B	P03989	6p21.33
HLA class I histocompatibility antigen, B-35 alpha chain	Tbio	HLA-B	P30685	6p21.33
HLA class I histocompatibility antigen, B-39 alpha chain	Tbio	HLA-B	P30475	6p21.33
HLA class I histocompatibility antigen, B-42 alpha chain	Tbio	HLA-B	P30480	6p21.33
HLA class I histocompatibility antigen, B-44 alpha chain	Tbio	HLA-B	P30481	6p21.33
HLA class I histocompatibility antigen, B-46 alpha chain	Tbio	HLA-B	P30484	6p21.33
HLA class I histocompatibility antigen, B-47 alpha chain	Tbio	HLA-B	P30485	6p21.33
HLA class I histocompatibility antigen, B-56 alpha chain	Tbio	HLA-B	P30495	6p21.33
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform	Tbio	PPP2R5B	Q15173	11q13.1
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	Tbio	PPP2R1A	P30153	19q13.41
Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	Tbio	PPP2R1B	P30154	11q23.1
HLA class II histocompatibility antigen, DRB1-10 beta chain	Tbio	HLA-DRB1	Q30167	6p21.32
HLA class II histocompatibility antigen, DRB1-11 beta chain	Tbio	HLA-DRB1	P20039	6p21.32
HLA class II histocompatibility antigen, DRB1-14 beta chain	Tbio	HLA-DRB1	Q9GIY3	6p21.32
SH3 domain-binding protein 5-like	Tdark	SH3BP5L	Q7L8J4	1q44
3-hydroxyanthranilate 3,4-dioxygenase	Tbio	HAAO	P46952	2p21
3-hydroxyisobutyrate dehydrogenase, mitochondrial	Tbio	HIBADH	P31937	7p15.2
ARL14 effector protein-like	Tdark	ARL14EPL	P0DKL9	5q23.1
Alpha-1-acid glycoprotein 1	Tbio	ORM1	P02763	9q32
Alpha-1-acid glycoprotein 2	Tbio	ORM2	P19652	9q32
Alpha-1-antitrypsin	Tbio	SERPINA1	P01009	14q32.13
Ankyrin repeat domain-containing protein 20A1	Tdark	ANKRD20A1	Q5TYW2	9q21.11
Ankyrin repeat domain-containing protein 20A3	Tdark	ANKRD20A3	Q5VUR7	9q21.11
Putative ankyrin repeat domain-containing protein 20A5	Tdark	ANKRD20A5P	A0PJZ0	18p11.21
Leucine-rich alpha-2-glycoprotein	Tbio	LRG1	P02750	19p13.3
Alpha-2-macroglobulin	Tbio	A2M	P01023	12p13.31
Alpha-1,3-galactosyltransferase 2	Tdark	A3GALT2	U3KPV4	1p35.1
Alpha-1,4-N-acetylglucosaminyltransferase	Tbio	A4GNT	Q9UNA3	3q22.3
Adenosine receptor A2a	Tclin	ADORA2A	P29274	22q11.23
Asc-type amino acid transporter 1	Tbio	SLC7A10	Q9NS82	19q13.11
Alpha-1-antichymotrypsin	Tbio	SERPINA3	P01011	14q32.13
Alpha- and gamma-adaptin-binding protein p34	Tbio	AAGAB	Q6PD74	15q23
5'-AMP-activated protein kinase subunit beta-1	Tchem	PRKAB1	Q9Y478	12q24.23
5'-AMP-activated protein kinase subunit beta-2	Tchem	PRKAB2	O43741	1q21.1
Mth938 domain-containing protein	Tdark	AAMDC	Q9H7C9	11q14.1
5'-AMP-activated protein kinase catalytic subunit alpha-1	Tchem	PRKAA1	Q13131	5p13.1
Protein AAR2 homolog	Tbio	AAR2	Q9Y312	20q11.23
Alpha-aminoadipic semialdehyde synthase, mitochondrial	Tbio	AASS	Q9UDR5	7q31.32
Aspartate aminotransferase, mitochondrial	Tbio	GOT2	P00505	16q21
Protein ABHD12B	Tdark	ABHD12B	Q7Z5M8	14q22.1
Protein ABHD17A	Tbio	ABHD17A	Q96GS6	19p13.3
Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	Tbio	APBB1IP	Q7Z5R6	10p12.1
DNA dC->dU-editing enzyme APOBEC-3F	Tbio	APOBEC3F	Q8IUX4	22q13.1
DNA dC->dU-editing enzyme APOBEC-3H	Tbio	APOBEC3H	Q6NTF7	22q13.1
Monoacylglycerol lipase ABHD12	Tchem	ABHD12	Q8N2K0	20p11.21
Monoacylglycerol lipase ABHD6	Tchem	ABHD6	Q9BV23	3p14.3
Protein ABHD14B	Tdark	ABHD14B	Q96IU4	3p21.2
Protein ABHD16A	Tchem	ABHD16A	O95870	6p21.33
Protein ABHD16B	Tdark	ABHD16B	Q9H3Z7	20q13.33
Abl interactor 1	Tbio	ABI1	Q8IZP0	10p12.1
ABI gene family member 3	Tbio	ABI3	Q9P2A4	17q21.32
Actin-binding LIM protein 3	Tbio	ABLIM3	O94929	5q32
Activator of basal transcription 1	Tbio	ABT1	Q9ULW3	6p22.2
Ankyrin repeat and BTB/POZ domain-containing protein 2	Tdark	ABTB2	Q8N961	11p13
Acetyl-CoA carboxylase 2	Tchem	ACACB	O00763	12q24.11
Isobutyryl-CoA dehydrogenase, mitochondrial	Tbio	ACAD8	Q9UKU7	11q25
Acyl-CoA dehydrogenase family member 9, mitochondrial	Tbio	ACAD9	Q9H845	3q21.3
Long-chain specific acyl-CoA dehydrogenase, mitochondrial	Tbio	ACADL	P28330	2q34
Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	Tbio	ACADVL	P49748	17p13.1
Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	Tbio	ACAP2	Q15057	3q29
Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3	Tdark	ACAP3	Q96P50	1p36.33
Acyl-CoA-binding domain-containing protein 4	Tdark	ACBD4	Q8NC06	17q21.31
Acyl-CoA-binding domain-containing protein 5	Tbio	ACBD5	Q5T8D3	10p12.1
Acyl-CoA-binding domain-containing protein 6	Tbio	ACBD6	Q9BR61	1q25.2-q25.3
Acyl-CoA-binding domain-containing protein 7	Tdark	ACBD7	Q8N6N7	10p13
Neuronal acetylcholine receptor subunit alpha-4	Tclin	CHRNA4	P43681	20q13.33
Neuronal acetylcholine receptor subunit alpha-6	Tchem	CHRNA6	Q15825	8p11.21
Neuronal acetylcholine receptor subunit alpha-7	Tchem	CHRFAM7A	P36544	15q13.2
Acetylcholine receptor subunit alpha	Tclin	CHRNA1	P02708	2q31.1
Neuronal acetylcholine receptor subunit beta-4	Tclin	CHRNB4	P30926	15q25.1
Acetylcholine receptor subunit beta	Tclin	CHRNB1	P11230	17p13.1
Atypical chemokine receptor 2	Tbio	ACKR2	O00590	3p22.1
ATP-citrate synthase	Tchem	ACLY	P53396	17q21.2
Muscarinic acetylcholine receptor M3	Tclin	CHRM3	P20309	1q43
Muscarinic acetylcholine receptor M5	Tclin	CHRM5	P08912	15q14
Acyl-coenzyme A thioesterase 1	Tdark	ACOT1	Q86TX2	14q24.3
Acyl-coenzyme A thioesterase 9, mitochondrial	Tdark	ACOT9	Q9Y305	Xp22.11
Peroxisomal acyl-coenzyme A oxidase 1	Tbio	ACOX1	Q15067	17q25.1
Peroxisomal acyl-coenzyme A oxidase 2	Tbio	ACOX2	Q99424	3p14.3
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2	Tclin	HSD3B2	P26439	1p12
SH3 domain-binding protein 2	Tbio	SH3BP2	P78314	4p16.3
SH3 domain-binding protein 5	Tbio	SH3BP5	O60239	3p25.1
Protein 4.1	Tbio	EPB41	P11171	1p35.3
Eukaryotic translation initiation factor 4E-binding protein 2	Tbio	EIF4EBP2	Q13542	10q22.1
Eukaryotic translation initiation factor 4E transporter	Tbio	EIF4ENIF1	Q9NRA8	22q12.2
4F2 cell-surface antigen heavy chain	Tbio	SLC3A2	P08195	11q12.3
5-hydroxytryptamine receptor 1A	Tclin	HTR1A	P08908	5q12.3
5-hydroxytryptamine receptor 1B	Tclin	HTR1B	P28222	6q14.1
5-hydroxytryptamine receptor 1E	Tchem	HTR1E	P28566	6q14.3
5-hydroxytryptamine receptor 1F	Tchem	HTR1F	P30939	3p12
5-hydroxytryptamine receptor 4	Tclin	HTR4	Q13639	5q32
5-hydroxytryptamine receptor 6	Tchem	HTR6	P50406	1p36.13
Cytosolic 5'-nucleotidase 1A	Tbio	NT5C1A	Q9BXI3	1p34.2
7-methylguanosine phosphate-specific 5'-nucleotidase	Tdark	NT5C3B	Q969T7	17q21.2
Aldehyde dehydrogenase family 16 member A1	Tdark	ALDH16A1	Q8IZ83	19q13.33
Autophagy-related protein 16-1	Tbio	ATG16L1	Q676U5	2q37.1
Alpha-2-antiplasmin	Tbio	SERPINF2	P08697	17p13.3
Alpha-2-macroglobulin-like protein 1	Tbio	A2ML1	A8K2U0	12p13.31
Acetoacetyl-CoA synthetase	Tbio	AACS	Q86V21	12q24.31
Putative aspartate aminotransferase, cytoplasmic 2	Tdark	GOT1L1	Q8NHS2	8p11.23
Retinal-specific ATP-binding cassette transporter	Tbio	ABCA4	P78363	1p22.1
Putative ATP-binding cassette sub-family A member 11	Tdark	ABCA11P	Q4W5N1	4p16.3
ATP-binding cassette sub-family B member 5	Tbio	ABCB5	Q2M3G0	7p21.1
ATP-binding cassette sub-family B member 6, mitochondrial	Tbio	ABCB6	Q9NP58	2q35
ATP-binding cassette sub-family B member 7, mitochondrial	Tbio	ABCB7	O75027	Xq13.3
ATP-binding cassette sub-family G member 4	Tbio	ABCG4	Q9H172	11q23.3
ATP-binding cassette sub-family G member 5	Tbio	ABCG5	Q9H222	2p21
Protein ABHD15	Tdark	ABHD15	Q6UXT9	17q11.2
Monoacylglycerol lipase ABHD2	Tbio	ABHD2	P08910	15q26.1
1-acylglycerol-3-phosphate O-acyltransferase ABHD5	Tbio	ABHD5	Q8WTS1	3p21.33
Protein ABHD8	Tdark	ABHD8	Q96I13	19p13.11
Protein ABHD11	Tbio	ABHD11	Q8NFV4	7q11.23
Tyrosine-protein kinase ABL1	Tclin	ABL1	P00519	9q34.12
Actin-binding LIM protein 1	Tbio	ABLIM1	O14639	10q25.3
Actin-binding LIM protein 2	Tdark	ABLIM2	Q6H8Q1	4p16.1
Costars family protein ABRACL	Tbio	ABRACL	Q9P1F3	6q24.1
Actin-binding Rho-activating protein	Tbio	ABRA	Q8N0Z2	8q23.1
BRCA1-A complex subunit Abraxas 1	Tbio	ABRAXAS1	Q6UWZ7	4q21.23
BRISC complex subunit Abraxas 2	Tbio	ABRAXAS2	Q15018	10q26.13
Acetyl-CoA carboxylase 1	Tchem	ACACA	Q13085	17q12
Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	Tbio	ACADM	P11310	1p31.1
Acyl-CoA dehydrogenase family member 10	Tbio	ACAD10	Q6JQN1	12q24.12
Acyl-CoA dehydrogenase family member 11	Tbio	ACAD11	Q709F0	3q22.1
Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	Tbio	ACADSB	P45954	10q26.13
Angiotensin-converting enzyme 2	Tchem	ACE2	Q9BYF1	Xp22.2
Alkaline ceramidase 2	Tchem	ACER2	Q5QJU3	9p22.1
Angiotensin-converting enzyme	Tclin	ACE	P12821	17q23.3
Neuronal acetylcholine receptor subunit alpha-10	Tchem	CHRNA10	Q9GZZ6	11p15.4
Alcohol dehydrogenase class-3	Tchem	ADH5	P11766	4q23
Adipolin	Tbio	C1QTNF12	Q5T7M4	1p36.33
Afadin- and alpha-actinin-binding protein	Tbio	SSX2IP	Q9Y2D8	1p22.3
ADP/ATP translocase 1	Tbio	SLC25A4	P12235	4q35.1
Zinc finger protein AEBP2	Tbio	AEBP2	Q6ZN18	12p12.3
Protein AF-9	Tbio	MLLT3	P42568	9p21.3
Actin filament-associated protein 1	Tbio	AFAP1	Q8N556	4p16.1
AF4/FMR2 family member 1	Tbio	AFF1	P51825	4q21.3-q22.1
AF4/FMR2 family member 2	Tbio	AFF2	P51816	Xq28
Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase	Tbio	ALG10	Q5BKT4	12p11.1
Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase	Tbio	ALG10B	Q5I7T1	12q12
Putative glycosyltransferase ALG1L2	Tdark	ALG1L2	C9J202	3q22.1
Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 11	Tdark	AGAP11	Q8TF27	10q23.2
Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3	Tdark	AGAP3	Q96P47	7q36.1
Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 5	Tdark	AGAP5	A6NIR3	10q22.2
Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 9	Tdark	AGAP9	Q5VTM2	10q11.22
Arf-GAP domain and FG repeat-containing protein 1	Tbio	AGFG1	P52594	2q36.3
Acylglycerol kinase, mitochondrial	Tbio	AGK	Q53H12	7q34
Jouberin	Tbio	AHI1	Q8N157	6q23.3
Aryl hydrocarbon receptor	Tchem	AHR	P35869	7p21.1
Axin interactor, dorsalization-associated protein	Tbio	AIDA	Q96BJ3	1q41
Apoptosis-inducing factor 1, mitochondrial	Tbio	AIFM1	O95831	Xq26.1
Autoimmune regulator	Tbio	AIRE	O43918	21q22.3
Aldo-keto reductase family 1 member C4	Tbio	AKR1C4	P17516	10p15.1
A-kinase anchor protein 7 isoforms alpha and beta	Tbio	AKAP7	O43687	6q23.2
A-kinase anchor protein 1, mitochondrial	Tbio	AKAP1	Q92667	17q22
A-kinase anchor protein 8	Tbio	AKAP8	O43823	19p13.12
A-kinase anchor protein 9	Tbio	AKAP9	Q99996	7q21.2
Aurora kinase A-interacting protein	Tchem	AURKAIP1	Q9NWT8	1p36.33
Akirin-2	Tbio	AKIRIN2	Q53H80	6q15
A-kinase anchor protein 13	Tbio	AKAP13	Q12802	15q25.3
A-kinase anchor protein 8-like	Tbio	AKAP8L	Q9ULX6	19p13.12
ARL14 effector protein	Tdark	ARL14EP	Q8N8R7	11p14.1
Cytosolic 10-formyltetrahydrofolate dehydrogenase	Tbio	ALDH1L1	O75891	3q21.3
4-trimethylaminobutyraldehyde dehydrogenase	Tbio	ALDH9A1	P49189	1q24.1
Alanine aminotransferase 1	Tbio	GPT	P24298	8q24.3
Aldose reductase	Tclin	AKR1B1	P15121	7q33
Protein ALEX	Tbio	GNAS	P84996	20q13.32
Dolichyl-phosphate beta-glucosyltransferase	Tbio	ALG5	Q9Y673	13q13.3
Alpha-1,2-mannosyltransferase ALG9	Tbio	ALG9	Q9H6U8	11q23.1
Amphoterin-induced protein 2	Tbio	AMIGO2	Q86SJ2	12q13.11
Anti-Muellerian hormone type-2 receptor	Tbio	AMHR2	Q16671	12q13.13
Protein amnionless	Tbio	AMN	Q9BXJ7	14q32.32
Acyl-coenzyme A thioesterase 11	Tbio	ACOT11	Q8WXI4	1p32.3
Acyl-coenzyme A thioesterase THEM5	Tbio	THEM5	Q8N1Q8	1q21.3
Acyl-coenzyme A thioesterase 2, mitochondrial	Tbio	ACOT2	P49753	14q24.3
Peroxisomal acyl-coenzyme A oxidase 3	Tbio	ACOX3	O15254	4p16.1
Acyl-coenzyme A oxidase-like protein	Tdark	ACOXL	Q9NUZ1	2q13
Acyl-CoA synthetase family member 2, mitochondrial	Tdark	ACSF2	Q96CM8	17q21.33
Acyl-coenzyme A synthetase ACSM4, mitochondrial	Tdark	ACSM4	P0C7M7	12p13.31
Acyl-CoA synthetase short-chain family member 3, mitochondrial	Tdark	ACSS3	Q9H6R3	12q21.31
Beta-centractin	Tdark	ACTR1B	P42025	2q11.2
Aspartoacylase	Tbio	ASPA	P45381	17p13.2
Acylphosphatase-1	Tbio	ACYP1	P07311	14q24.3
Alpha-1B adrenergic receptor	Tclin	ADRA1B	P35368	5q33.3
Alpha-2C adrenergic receptor	Tclin	ADRA2C	P18825	4p16.3
Uncharacterized aarF domain-containing protein kinase 1	Tdark	ADCK1	Q86TW2	14q24.3
Arylacetamide deacetylase-like 4	Tdark	AADACL4	Q5VUY2	1p36.21
Adenylate cyclase type 1	Tchem	ADCY1	Q08828	7p12.3
Adenylate cyclase type 4	Tbio	ADCY4	Q8NFM4	14q12
Adenylate cyclase type 6	Tchem	ADCY6	O43306	12q13.12
ADM	Tbio	ADM	P35318	11p15.4
Beta-1 adrenergic receptor	Tclin	ADRB1	P08588	10q25.3
Adseverin	Tbio	SCIN	Q9Y6U3	7p21.3
ADP/ATP translocase 3	Tbio	SLC25A6	P12236	Xp22.32 and Yp11.3
ADP/ATP translocase 4	Tbio	SLC25A31	Q9H0C2	4q28.1
Amino-terminal enhancer of split	Tbio	AES	Q08117	19p13.3
Protein AF-17	Tdark	MLLT6	P55198	17q12
Actin filament-associated protein 1-like 1	Tbio	AFAP1L1	Q8TED9	5q32
Actin filament-associated protein 1-like 2	Tbio	AFAP1L2	Q8N4X5	10q25.3
Afamin	Tbio	AFM	P43652	4q13.3
AF4/FMR2 family member 3	Tbio	AFF3	P51826	2q11.2
AF4/FMR2 family member 4	Tbio	AFF4	Q9UHB7	5q31.1
Alpha-galactosidase A	Tclin	GLA	P06280	Xq22.1
Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1	Tbio	AGAP1	Q9UPQ3	2q37.2
Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	Tbio	AGAP2	Q99490	12q14.1
Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4	Tdark	AGAP4	Q96P64	10q11.22
Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 6	Tdark	AGAP6	Q5VW22	10q11.23
Angiogenic factor with G patch and FHA domains 1	Tbio	AGGF1	Q8N302	5q13.3
3-oxo-5-beta-steroid 4-dehydrogenase	Tbio	AKR1D1	P51857	7q33
A-kinase anchor protein 10, mitochondrial	Tbio	AKAP10	O43572	17p11.2
A-kinase anchor protein 14	Tbio	AKAP14	Q86UN6	Xq24
Ankyrin repeat and death domain-containing protein 1A	Tdark	ANKDD1A	Q495B1	15q22.31
A-kinase-interacting protein 1	Tbio	AKIP1	Q9NQ31	11p15.4
AT-hook-containing transcription factor	Tbio	AKNA	Q7Z591	9q32
RAC-alpha serine/threonine-protein kinase	Tchem	AKT1	P31749	14q32.33
AKT-interacting protein	Tbio	AKTIP	Q9H8T0	16q12.2
Retinal dehydrogenase 1	Tchem	ALDH1A1	P00352	9q21.13
Fatty aldehyde dehydrogenase	Tbio	ALDH3A2	P51648	17p11.2
Aldehyde dehydrogenase family 3 member B1	Tbio	ALDH3B1	P43353	11q13.2
Aldehyde dehydrogenase family 8 member A1	Tbio	ALDH8A1	Q9H2A2	6q23.3
Serum albumin	Tchem	ALB	P02768	4q13.3
Aldehyde dehydrogenase, mitochondrial	Tclin	ALDH2	P05091	12q24.12
Fructose-bisphosphate aldolase B	Tbio	ALDOB	P05062	9q31.1
GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase	Tbio	ALG11	Q2TAA5	13q14.3
Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase	Tbio	ALG12	Q9BV10	22q13.33
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4	Tdark	ALKBH4	Q9NXW9	7q22.1
RNA demethylase ALKBH5	Tbio	ALKBH5	Q6P6C2	17p11.2
14-3-3 protein sigma	Tbio	SFN	P31947	1p36.11
Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform	Tchem	PPP2R5A	Q15172	1q32.3
Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform	Tchem	PPP2R2A	P63151	8p21.2
HLA class II histocompatibility antigen, DRB1-1 beta chain	Tchem	HLA-DRB1	P04229	6p21.32
HLA class II histocompatibility antigen, DRB1-4 beta chain	Tbio	HLA-DRB1	P13760	6p21.32
HLA class II histocompatibility antigen, DRB1-15 beta chain	Tbio	HLA-DRB1	P01911	6p21.32
DNA-3-methyladenine glycosylase	Tchem	MPG	P29372	16p13.3
Eukaryotic translation initiation factor 4E-binding protein 1	Tbio	EIF4EBP1	Q13541	8p11.23
Eukaryotic translation initiation factor 4E-binding protein 3	Tbio	EIF4EBP3	O60516	5q31.3
7,8-dihydro-8-oxoguanine triphosphatase	Tchem	NUDT1	P36639	7p22.3
Putative ankyrin repeat domain-containing protein 26-like 1	Tdark	ANKRD36BP1	Q96IX9	1q24.2
Putative ankyrin repeat domain-containing protein 30B-like	Tdark	ANKRD30BL	A7E2S9	2q21.2
Lactosylceramide 4-alpha-galactosyltransferase	Tbio	A4GALT	Q9NPC4	22q13.2
Aladin	Tbio	AAAS	Q9NRG9	12q13.13
Neutral amino acid transporter B(0)	Tchem	SLC1A5	Q15758	19q13.32
Thioredoxin-like protein AAED1	Tdark	AAED1	Q7RTV5	9q22.33
5'-AMP-activated protein kinase subunit gamma-1	Tbio	PRKAG1	P54619	12q13.12
5'-AMP-activated protein kinase subunit gamma-2	Tbio	PRKAG2	Q9UGJ0	7q36.1
Angio-associated migratory cell protein	Tbio	AAMP	Q13685	2q35
5'-AMP-activated protein kinase catalytic subunit alpha-2	Tchem	PRKAA2	P54646	1p32.2
Putative uncharacterized protein ADORA2A-AS1	Tdark	ADORA2A-AS1	P86434	22q11.23
ATP-binding cassette sub-family A member 5	Tbio	ABCA5	Q8WWZ7	17q24.3
ATP-binding cassette sub-family A member 6	Tbio	ABCA6	Q8N139	17q24.2-q24.3
ATP-binding cassette sub-family B member 9	Tbio	ABCB9	Q9NP78	12q24.31
ATP-binding cassette sub-family C member 9	Tclin	ABCC9	O60706	12p12.1
ATP-binding cassette sub-family C member 11	Tbio	ABCC11	Q96J66	16q12.1
Putative ATP-binding cassette sub-family C member 13	Tdark	ABCC13	Q9NSE7	21q11.2
ATP-binding cassette sub-family D member 1	Tbio	ABCD1	P33897	Xq28
ATP-binding cassette sub-family D member 3	Tbio	ABCD3	P28288	1p21.3
ATP-binding cassette sub-family D member 4	Tbio	ABCD4	O14678	14q24.3
ATP-binding cassette sub-family F member 1	Tbio	ABCF1	Q8NE71	6p21.33
ATP-binding cassette sub-family F member 2	Tbio	ABCF2	Q9UG63	7q36.1
ATP-binding cassette sub-family F member 3	Tdark	ABCF3	Q9NUQ8	3q27.1
ATP-binding cassette sub-family G member 2	Tchem	ABCG2	Q9UNQ0	4q22.1
Protein ABHD18	Tdark	ABHD18	Q0P651	4q28.2
C->U-editing enzyme APOBEC-1	Tbio	APOBEC1	P41238	12p13.31
C->U-editing enzyme APOBEC-2	Tbio	APOBEC2	Q9Y235	6p21.1
Putative C->U-editing enzyme APOBEC-4	Tdark	APOBEC4	Q8WW27	1q25.3
Protein ABHD1	Tdark	ABHD1	Q96SE0	2p23.3
Phospholipase ABHD3	Tbio	ABHD3	Q8WU67	18q11.2
Mycophenolic acid acyl-glucuronide esterase, mitochondrial	Tbio	ABHD10	Q9NUJ1	3q13.2
Protein ABHD14A	Tdark	ABHD14A	Q9BUJ0	3p21.2
Abl interactor 2	Tbio	ABI2	Q9NYB9	2q33.2
Long-chain-fatty-acid--CoA ligase ACSBG2	Tdark	ACSBG2	Q5FVE4	19p13.3
Acyl-CoA-binding protein	Tbio	DBI	P07108	2q14.2
Amyloid-beta A4 precursor protein-binding family A member 1	Tbio	APBA1	Q02410	9q21.12
Amyloid-beta A4 precursor protein-binding family A member 2	Tbio	APBA2	Q99767	15q13.1
Amyloid-beta A4 precursor protein-binding family A member 3	Tbio	APBA3	O96018	19p13.3
Amyloid protein-binding protein 2	Tbio	APPBP2	Q92624	17q23.2
Anaphase-promoting complex subunit 10	Tbio	ANAPC10	Q9UM13	4q31.21
Anaphase-promoting complex subunit 13	Tbio	ANAPC13	Q9BS18	3q22.2
Apelin receptor	Tchem	APLNR	P35414	11q12.1
Aprataxin and PNK-like factor	Tbio	APLF	Q8IW19	2p13.3
Apolipoprotein A-II	Tbio	APOA2	P02652	1q23.3
Apolipoprotein A-IV	Tbio	APOA4	P06727	11q23.3
Apolipoprotein(a)	Tbio	LPA	P08519	6q25.3-q26
Retroviral-like aspartic protease 1	Tbio	ASPRV1	Q53RT3	2p13.3
Aprataxin	Tbio	APTX	Q7Z2E3	9p21.1
Aquaporin-12A	Tbio	AQP12A	Q8IXF9	2q37.3
Aquaporin-10	Tbio	AQP10	Q96PS8	1q21.3
Aquaporin-1	Tbio	AQP1	P29972	7p14.3
Putative aquaporin-7-like protein 3	Tdark	AQP7P3	A6NL99	9q21.11
Aquaporin-7	Tbio	AQP7	O14520	9p13.3
Aquaporin-9	Tbio	AQP9	O43315	15q21.3
ADP-ribosylation factor-like protein 13B	Tbio	ARL13B	Q3SXY8	3q11.1-q11.2
Serine/threonine-protein kinase A-Raf	Tchem	ARAF	P10398	Xp11.3
Putative uncharacterized protein ARHGAP5-AS1	Tdark	ARHGAP5-AS1	Q96IT6	14q12
Activity-regulated cytoskeleton-associated protein	Tbio	ARC	Q7LC44	8q24.3
Apoptosis-resistant E3 ubiquitin protein ligase 1	Tdark	AREL1	O15033	14q24.3
ADP-ribosylation factor 1	Tchem	ARF1	P84077	1q42.13
ADP-ribosylation factor 3	Tbio	ARF3	P61204	12q13.12
ADP-ribosylation factor 4	Tbio	ARF4	P18085	3p14.3
Arfaptin-1	Tbio	ARFIP1	P53367	4q31.3
Arfaptin-2	Tbio	ARFIP2	P53365	11p15.4
Rho guanine nucleotide exchange factor 28	Tbio	ARHGEF28	Q8N1W1	5q13.2
Arginine and glutamate-rich protein 1	Tdark	ARGLU1	Q9NWB6	13q33.3
Rho guanine nucleotide exchange factor 40	Tdark	ARHGEF40	Q8TER5	14q11.2
Rho guanine nucleotide exchange factor 3	Tbio	ARHGEF3	Q9NR81	3p14.3
